StudyHours,Attendance,InternalMarks,Assignment,Performance
2,60,45,50,Poor
3,65,50,55,Poor
4,70,55,60,Average
5,75,60,65,Average
6,80,70,75,Good
7,85,75,80,Good
8,90,85,90,Excellent
9,95,90,95,Excellent
5,78,65,70,Good
3,68,52,58,Average
8,92,88,91,Excellent
2,58,42,48,Poor
7,84,78,82,Good
6,82,72,76,Good
9,96,94,97,Excellent
4,72,57,62,Average
1,50,35,40,Poor
2,55,40,45,Poor
3,62,48,52,Average
4,68,54,60,Average
5,74,62,66,Good
6,79,69,72,Good
7,86,80,84,Excellent
8,91,87,89,Excellent
9,97,96,98,Excellent
5,76,64,68,Good
4,71,58,61,Average
6,81,73,77,Good
7,88,82,86,Excellent
8,93,89,92,Excellent
3,64,49,54,Average
5,77,63,67,Good
6,83,74,79,Good
7,89,83,87,Excellent
8,94,90,93,Excellent
2,57,41,46,Poor
3,66,51,56,Average
4,73,59,63,Average
6,85,76,81,Good
9,98,97,99,Excellent
